Restaurant_Name,Review,Delivery_Rating,Place_Name,City,Delivery_Person_ID,Delivery_Person_Ratings,Time_Ordered,Time_Order_Picked,Weather_Conditions,Road_Traffic_Density,Time_Taken_In_Min,Restaurant_ID,Order_ID,Order_Status,Distance_in_km,Discount_Construct,Total,Discount,Restaurant_Compensation_Cancellation,Customer_ID,Phase,Campaign_Name,Customer_Type,Type_Of_Vehicle,Payment_Mode,Partner_Category,Delivery_Delay_Min,Effective_Discount_%,Sentiment_Score,Sentiment_Label
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL02,4.0,,,Windy,Jam,47,20320607,6158533370,Delivered,4,50% off upto Rs.100,420.25,100.0,,000285ae83ecf06a92b936d4f5b74342edb0e1940e1f00e2d43d28dac93a034e,Crisis,Trust Isn’t Told. It’s Tasted.,Lost,motorcycle,UPI,Fast Food,0.0,23.79535990481856,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL03,4.9,,,Stormy,Low,11,20320607,6155576594,Delivered,3,Flat Rs.80 off,1134.2,80.0,,00062fa202370fdd3076b794ec9358f36e35469bb8e5ff60fa06e93c9663f69c,Crisis,Crave. Click. Arrive,Lost,motorcycle,UPI,Fine Dining,0.0,7.053429730206312,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL04,4.8,,,Fog,Low,28,20320607,6149438913,Delivered,1,Flat Rs.175 off,1345.75,175.0,,003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,Recovery,Zero Delay Dining,Active,scooter,Card,Fast Food,0.0,13.003901170351106,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL05,4.9,,,Windy,Medium,25,20320607,6150789630,Delivered,1,Flat Rs.175 off,805.0,175.0,,003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,Pre-crisis,Cooked Clean. Delivered Seamless.,Active,motorcycle,Cash,Fast Food,0.0,21.73913043478261,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL06,4.8,,,Cloudy,Medium,26,20320607,6151158050,Delivered,7,50% off upto Rs.100,359.35,100.0,,0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,Pre-crisis,Crave. Click. Arrive,Active,scooter,Cash,Cloud Kitchen,0.0,27.82802281897871,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL07,5.0,,,Sunny,High,18,20320607,6155965734,Delivered,4,50% off upto Rs.100,367.75,100.0,,0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,Pre-crisis,Trust Delivered Daily,Active,electric_scooter,Cash,Cloud Kitchen,0.0,27.192386131883072,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL08,4.9,,,Fog,Medium,16,20320607,6155526018,Delivered,7,50% off upto Rs.100,320.5,100.0,,0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,Pre-crisis,Behind the Bite,Active,scooter,Card,Cloud Kitchen,0.0,31.201248049921997,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL09,4.8,,,Stormy,Low,23,20320607,6146261091,Delivered,4,40% off upto Rs.80,694.25,80.0,,0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,Crisis,The Comeback Cookout,Lost,motorcycle,Card,Fine Dining,0.0,11.523226503420958,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL10,5.0,,,Cloudy,Low,15,20320607,6155286499,Delivered,8,50% off upto Rs.100,646.0,100.0,,00d3ca94468f2d1fb506d8ecdccf18d71eb1922239a1902bdcf32a0607b753c3,Crisis,Operation FreshStart,Lost,motorcycle,Cash,Cloud Kitchen,0.0,15.479876160990713,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL11,4.8,,,Sandstorms,Jam,36,20320607,6155319009,Delivered,3,Flat Rs.175 off,784.0,175.0,,00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,Recovery,"Your Meal, Our Mission",Recovered,motorcycle,UPI,Fine Dining,0.0,22.321428571428573,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL12,4.7,,,Cloudy,Low,16,20320607,6155343744,Delivered,1,Flat Rs.80 off,452.75,80.0,,0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961,Recovery,Cooked Clean. Delivered Seamless.,Recovered,motorcycle,Cash,Cloud Kitchen,0.0,17.6697956929873,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL13,4.7,,,Sunny,Medium,19,20320607,6151641967,Delivered,2,50% off upto Rs.100,336.25,100.0,,013e45493ca3369fe873faad27d720094649751184294dfb52a254bffbd3a045,Crisis,Trust Isn’t Told. It’s Tasted.,Lost,electric_scooter,Card,Fine Dining,0.0,29.739776951672862,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL14,4.6,,,Sunny,Low,27,20320607,6152673880,Delivered,6,,660.45,0.0,,01addfa2a3daee7c98ee314b836a9ddb987ce281cdad404541dc39cf255f83c3,Crisis,Crave. Click. Arrive,Active,motorcycle,Cash,Fast Food,0.0,0.0,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL15,4.2,,,Fog,Jam,49,20320607,6145690912,Delivered,7,50% off upto Rs.100,609.25,100.0,,01dad68e8ecbd0d6a89a9cee7483390f84103f03cf69a4116cf9bb441bcb4c9f,Crisis,"Your Meal, Our Mission",Recovered,scooter,Cash,Cloud Kitchen,0.0,16.413623307345095,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL16,4.5,,,Windy,Low,20,20320607,6152587141,Delivered,10,,1262.25,0.0,,01dad68e8ecbd0d6a89a9cee7483390f84103f03cf69a4116cf9bb441bcb4c9f,Pre-crisis,Cooked Clean. Delivered Seamless.,Recovered,motorcycle,Card,Fast Food,0.0,0.0,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL17,4.7,,,Cloudy,Jam,30,20320607,6143319424,Delivered,10,,837.25,0.0,,0208e406ecc175581021b4089d4d1a205b706d3e242eadb9a13fbededa16ea34,Pre-crisis,Operation FreshStart,Recovered,electric_scooter,UPI,Fine Dining,0.0,0.0,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL18,4.8,,,Sandstorms,Low,18,20320607,6152649630,Delivered,4,,635.5,0.0,,0211453fb0f6c1fcc90d2d6aa9480cb3670d5b3cd75958ed4a1b25308ba7e18c,Recovery,Operation FreshStart,Lost,motorcycle,Card,Fine Dining,0.0,0.0,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL19,4.9,,,Sunny,Jam,22,20320607,6146501186,Delivered,8,,861.0,0.0,,02696c06d1ea0a0f897d8fd54217835337d33c8dad76a3ef30b63a324e27d4a2,Crisis,Zero Delay Dining,Active,scooter,Card,Fine Dining,0.0,0.0,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL20,4.4,,,Cloudy,Low,34,20320607,6145930056,Delivered,9,,1199.25,0.0,,02696c06d1ea0a0f897d8fd54217835337d33c8dad76a3ef30b63a324e27d4a2,Crisis,The Comeback Cookout,Active,motorcycle,Card,Cloud Kitchen,0.0,0.0,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL21,5.0,,,Sandstorms,Low,24,20320607,6145885503,Delivered,10,,510.25,0.0,,02b57794cda902728202cbf94ea09b7b1fad3a2cdb405792dde4274a2efe9c31,Crisis,Operation FreshStart,Active,electric_scooter,Card,Cloud Kitchen,0.0,0.0,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL22,4.9,,,Fog,Medium,17,20320607,6153460436,Delivered,10,,931.0,0.0,,02b710296957ae6243953454ea20f38027fc1879169e3972451080306f04f94f,Crisis,Behind the Bite,Recovered,motorcycle,Card,Cloud Kitchen,0.0,0.0,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL23,4.8,,,Sandstorms,Low,14,20320607,6149384788,Delivered,1,,635.5,0.0,,0318826f12b937dfe764449fbbbfa73b0332978d0ce9ac5302ed55849534a057,Crisis,"Your Meal, Our Mission",Lost,motorcycle,Cash,Fine Dining,0.0,0.0,0.0,Neutral
Living Bowls,4.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL24,4.9,,,Stormy,Jam,30,20320607,6153295379,Delivered,2,,651.25,0.0,,034832d4b7d011459fc4b35648bc82fe163e9c40d7ff4309502827a569951b1a,Crisis,Behind the Bite,Recovered,motorcycle,UPI,Fast Food,0.0,0.0,0.0,Neutral
Living Bowls,3.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL25,4.8,,,Stormy,Low,15,20320607,6151765091,Delivered,3,,635.5,0.0,,03878b0de0c1c89640fdbc7223fb6f0b06b3fd5cec355e1254e1288d93064d7b,Recovery,The Comeback Cookout,Active,scooter,Cash,Fast Food,0.0,0.0,0.0,Neutral
Living Bowls,5.0,3.7,Koramangala 7th Block,Bangalore,BANGRES17DEL26,4.8,,,Fog,Medium,16,20320607,6151170863,Delivered,1,,616.25,0.0,,03e0b163c314a2af76b37b4241e815ae3025bc7fe7aa7a1916350160ddbe9eb0,Recovery,Crave. Click. Arrive,Lost,scooter,Card,Fine Dining,0.0,0.0,0.0,Neutral
